Company,Company ID,Country,Country GDP $,Not IFRS,Industry group,ICB code,Industry description,Listing status,2009 R&D investment,1 Yr R&D investment growth%,4 Yr R&D investment growth%,R&D investment / operation profit%,R&D investment / sales%,R&D + capex / sales%,Operating profit,If made profit,1 Yr operating profit%,4 Yr operating profit%,Operating profit / sales%,Sales,1 Yr sales growth%,4 Yr sales growth%,Employees,1 Yr employees growth%,4 Yr employees growth%,R&D / employees ,1 Yr R&D / employees growth%,4 Yr R&D / employees growth%,Sales outside region%,Market cap,Market cap change%,If market cap increase,R&D spend 2008,R&D spend 2007,R&D spend 2006,R&D spend 2005
"Anheuser-Busch Inbev, Belgium",555,Belgium,467559394365.929,,5,3533,Brewers,FT Global 500,98.46,113,314,1.5,0.4,4.6,6355,Yes,103,130,27.9,22762,59,85,116489,28,36,0.8,66,210,,53152,39,Yes,46.20,17.77,15.10,15.99
"Obayashi, Japan",861,Japan,5470777391091.97,*,7,2357,Heavy construction,Listed,48.35,5,1,40.1,0.4,0.4,121,Yes,-16,-45,1.1,11191,-1,10,15150,0,19,3.2,4,-16,11,1773,-14,No,46.22,45.19,47.93,52.46
"Crucell, The Netherlands",426,The Netherlands,835338475725.744,,34,4573,Biotechnology,Listed,48.51,5,22,159.2,16.1,31.2,30,Yes,1356,,10.1,300,27,113,1188,4,33,40.8,1,-25,22,1005,5,Yes,46.25,40.53,47.17,24.65
"Daifuku, Japan",681,Japan,5470777391091.97,*,21,2757,Industrial machinery,Listed,53.33,15,18,53.8,3.3,5.4,99,Yes,-28,-11,6.2,1611,5,17,5660,0,24,9.4,15,-6,14,357,-27,No,46.32,50.31,50.75,33.06
"Sonova, Switzerland",443,Switzerland,566764598976.798,,19,4537,Medical supplies,Listed,52.14,12,20,21.4,5.8,9.9,243,Yes,26,43,27.1,899,20,37,5933,16,44,8.8,-3,-18,58,5041,40,Yes,46.35,49.69,40.49,37.76
"HeidelbergCement, Germany",873,Germany,3260114884059.16,,7,2353,Building materials & fixtures,Listed,44.51,-5,7,7.3,0.5,7.7,612,Yes,-60,-57,6.2,9877,-23,2,56723,-10,10,0.8,6,-5,,5072,32,Yes,46.74,41.76,39.98,38.21
"Bucher Industries, Switzerland",703,Switzerland,566764598976.798,,21,2753,Commercial vehicles & trucks,Listed,45.47,-3,9,317.6,3.5,6.2,14,Yes,-90,-86,1.1,1283,-23,-8,7618,-7,4,6.0,4,5,29,820,7,Yes,46.79,42.59,39.12,37.98
"Kinetic Concepts, USA",472,USA,14617299295858.1,*,19,4535,Medical equipment,Listed,57.02,21,90,20.8,4.6,9.8,274,Yes,27,43,22.2,1234,6,31,6800,-1,7,8.4,23,80,,1555,4,Yes,46.96,31.29,22.72,18.96
"Salix Pharmaceuticals, USA",384,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,55.40,17,57,,38.4,39.6,-25,No,,,-17.2,144,30,20,395,41,57,140.3,-17,2,,1418,269,Yes,47.45,42.75,29.67,21.39
"Blue Coat Systems, USA",197,USA,14617299295858.1,*,37,9537,Software,Listed,52.59,11,74,216.8,17.1,20.7,24,Yes,1463,704,7.9,307,12,86,1261,-12,35,41.7,26,30,56,475,3,Yes,47.48,31.94,24.70,16.59
"Vivus, USA",434,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,44.01,-8,112,,142.0,142.9,-34,No,,,-109.3,31,-51,6,126,-3,7,349.3,-5,105,,268,-13,No,47.68,16.52,8.25,10.53
"Amer Sports, Finland",507,Finland,241487608810.22,,24,3745,Recreational products,Listed,44.78,-7,-3,116.1,3.3,5.1,39,Yes,-31,-43,2.8,1362,-3,-4,6362,1,3,7.0,-8,-6,52,788,82,Yes,47.98,49.93,51.98,35.01
"Cheil Industries, South Korea",961,South Korea,1027729851625.48,*,6,1353,Commodity chemicals,Listed,55.04,14,56,54.2,2.4,5.3,102,Yes,-6,-8,4.5,2266,14,38,3299,,,16.7,,,,2338,,No,48.13,41.21,30.28,21.39
"Fair Isaac, USA",202,USA,14617299295858.1,*,37,9537,Software,Listed,45.78,-5,-6,60.9,11.7,13.9,75,Yes,-2,-21,19.2,391,-15,-21,2086,-16,-23,21.9,13,22,,593,-13,No,48.36,43.72,52.61,50.34
"Nissin Kogyo, Japan",601,Japan,5470777391091.97,*,3,3355,Auto parts,Listed,45.79,-6,3,56.2,3.7,9.2,81,Yes,-44,-33,6.6,1240,-8,7,8389,13,28,5.5,-17,-22,,581,3,Yes,48.65,45.70,42.35,40.50
"Diebold, USA",150,USA,14617299295858.1,*,39,9572,Computer hardware,Listed,44.60,-9,1,63.2,2.6,4.2,71,Yes,-32,-16,4.2,1698,-14,-6,16397,-2,3,2.7,-7,-2,,1097,-12,No,48.96,45.79,43.96,37.41
"PUMA, Germany",492,Germany,3260114884059.16,,33,3763,Clothing & accessories,Listed,51.62,5,10,30.2,2.4,4.5,171,Yes,-41,-47,7.8,2186,-3,9,9747,3,34,5.3,3,-22,,2566,0,No,48.96,51.09,50.38,37.32
"Intuitive Surgical, USA",469,USA,14617299295858.1,*,19,4535,Medical equipment,Listed,61.62,25,127,26.4,9.5,9.5,234,Yes,21,118,35.9,652,20,103,1263,20,81,48.8,4,35,,7693,44,Yes,49.15,30.26,18.44,10.75
"Eclipsys, USA",196,USA,14617299295858.1,*,37,9537,Software,Listed,52.70,7,13,902.5,16.4,20.5,6,Yes,1,65,1.8,321,1,15,2800,0,19,18.8,7,-6,1,716,17,Yes,49.30,48.11,44.63,44.54
"Adeka, Japan",963,Japan,5470777391091.97,*,6,1353,Commodity chemicals,Listed,49.94,1,9,176.4,4.3,9.1,28,Yes,-73,-71,2.4,1172,-8,3,2697,6,,18.5,-4,,,634,8,Yes,49.32,46.66,44.27,43.14
"WMS Industries, USA",304,USA,14617299295858.1,*,41,5752,Gambling,Listed,60.93,23,66,72.0,13.9,28.1,85,Yes,31,112,19.3,437,9,39,1712,12,25,35.6,10,34,,1355,5,Yes,49.48,35.98,30.34,31.15
"Celanese, USA",965,USA,14617299295858.1,*,6,1353,Commodity chemicals,Listed,46.44,-6,-4,25.2,1.5,4.9,185,Yes,-23,-58,5.9,3147,-26,-22,7400,-11,-15,6.3,6,13,,2650,9,Yes,49.54,45.20,43.35,56.35
"Investment Technology, USA",228,USA,14617299295858.1,*,11,8777,Investment services,Listed,53.19,7,41,108.8,13.6,16.0,49,Yes,-61,-54,12.5,392,-17,1,1183,-11,10,45.0,20,30,,380,-41,No,49.73,42.91,35.36,23.10
"Infinera, USA",98,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,60.18,21,89,,31.4,36.4,-55,No,-222,,-28.9,191,-40,49,974,4,136,61.8,16,,28,499,10,Yes,49.80,37.68,24.13,15.47
"Gen-Probe, USA",420,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,60.72,22,42,81.7,19.7,26.2,74,Yes,-16,13,24.1,309,5,30,1250,26,33,48.6,-3,8,,1430,19,Yes,49.86,49.86,42.48,28.49
"Husqvarna, Sweden",673,Sweden,466459315772.176,,21,2757,Industrial machinery,Listed,60.28,21,44,44.5,2.0,4.0,136,Yes,-35,-48,4.6,2955,5,8,15030,-4,4,4.0,26,38,55,4115,15,Yes,49.96,41.72,33.48,
"Estee Lauder, USA",488,USA,14617299295858.1,*,33,3767,Personal products,Listed,50.53,1,9,18.6,1.1,4.9,271,Yes,-46,-41,6.0,4535,-7,6,31300,-2,13,1.6,3,-5,,7126,55,Yes,50.10,46.07,44.59,44.77
"Toyo Ink Manufacturing, Japan",964,Japan,5470777391091.97,*,6,1353,Commodity chemicals,Listed,47.45,-6,-1,5448.2,3.0,7.1,1,Yes,-98,-99,0.1,1595,-7,-1,6860,2,,6.9,-7,,4,745,13,Yes,50.24,47.54,46.85,46.95
"Lexicon Pharmaceuticals, USA",432,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,44.53,-12,44,,672.0,675.4,-57,No,,,-864.5,7,-67,-81,345,-1,-38,129.1,-11,92,,303,157,Yes,50.40,34.83,23.73,14.90
"Hologic, USA",442,USA,14617299295858.1,*,19,4537,Medical supplies,Listed,58.41,16,118,,5.8,7.7,-1251,No,,-24839,-123.4,1014,-2,107,3959,1,58,14.8,15,32,,2369,0,No,50.42,27.55,17.52,11.53
"Alliant Techsystems, USA",829,USA,14617299295858.1,*,1,2717,Defence,Listed,47.00,-7,15,14.8,1.6,4.6,317,Yes,33,38,10.7,2977,5,24,18000,-5,7,2.6,-2,9,,1427,-9,No,50.49,42.31,38.10,31.89
"Waters, USA",474,USA,14617299295858.1,*,19,4535,Medical equipment,Listed,47.78,-5,1,19.6,5.1,11.4,244,Yes,1,21,26.3,928,-5,9,5200,4,8,9.2,-9,-7,69,3556,14,Yes,50.52,49.94,47.87,41.43
"Cytec Industries, USA",931,USA,14617299295858.1,*,6,1357,Specialty chemicals,Listed,46.57,-8,0,254.9,2.7,9.6,18,Yes,,-82,1.1,1727,-23,-17,5800,-13,-16,8.0,6,19,56,1472,78,Yes,50.53,46.88,45.76,42.42
"NewMarket, USA",929,USA,14617299295858.1,*,6,1357,Specialty chemicals,Listed,53.30,5,17,33.2,5.6,8.1,160,Yes,129,149,16.9,948,-5,15,1308,2,9,40.7,3,8,60,890,19,Yes,50.62,47.58,43.51,40.49
"ADTRAN, USA",30,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,51.57,2,15,79.8,17.2,19.0,65,Yes,-9,-12,21.6,300,-3,-1,1624,-1,1,31.8,3,14,,1149,28,Yes,50.67,46.67,43.78,38.80
"Lawson Software, USA",192,USA,14617299295858.1,*,37,9537,Software,Listed,55.90,10,15,163.4,12.3,14.8,34,Yes,25,197,7.5,456,-3,7,3900,5,3,14.3,4,12,40,742,18,Yes,51.01,52.87,52.84,37.59
"Tencent, China",208,China,1565186460764.05,,37,9535,Internet,FT Global 500,88.53,73,207,16.6,7.8,22.0,534,Yes,91,288,47.3,1128,74,227,7515,21,96,11.8,43,58,0,21090,23,Yes,51.04,28.24,23.32,12.88
"CGGVeritas, France",976,France,2592078593347.73,,32,573,Oil equipment & services,Listed,67.88,33,48,,3.4,11.1,-143,No,-130,-147,-7.2,1984,-14,24,7500,-15,18,9.1,57,17,56,1673,-10,No,51.09,52.87,44.07,34.92
"WR Grace, USA",934,USA,14617299295858.1,*,6,1357,Specialty chemicals,Listed,43.41,-15,-2,76.6,2.5,5.8,57,Yes,-52,-41,3.2,1749,-15,-4,5940,-6,-8,7.3,-10,6,66,1159,44,Yes,51.21,49.29,39.51,36.66
"Tieto, Finland",226,Finland,241487608810.22,,37,9533,Computer services,Listed,47.18,-8,-17,80.0,3.1,6.3,59,Yes,-39,-34,3.9,1516,-9,-4,16568,1,9,2.8,-9,-24,,768,-1,No,51.44,59.44,64.42,51.80
"Zeltia, Spain",391,Spain,1418409880841.96,,34,4577,Pharmaceuticals,Listed,48.10,-7,6,,43.9,47.5,-26,No,,,-24.1,110,17,46,686,4,8,70.1,-10,-2,0,580,-3,No,51.61,45.93,44.16,40.59
"ADC Telecommunications, USA",37,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,44.11,-15,-4,,6.4,9.6,-295,No,-839,-887,-43.0,686,-26,-17,9050,-15,-1,4.9,0,-4,,757,40,Yes,51.71,43.10,44.83,44.34
"Kone, Finland",680,Finland,241487608810.22,,21,2757,Industrial machinery,Listed,55.09,6,23,10.8,1.3,2.0,511,Yes,2,47,12.1,4215,3,19,34276,1,13,1.6,5,9,,6099,26,Yes,51.80,45.05,44.69,37.62
"Recordati, Italy",378,Italy,2098071668645.46,,34,4577,Pharmaceuticals,Listed,61.70,18,40,43.8,9.3,10.5,141,Yes,16,28,21.2,664,8,21,2830,5,29,21.8,12,8,9,971,11,Yes,52.30,43.65,40.33,39.95
"Juki, Japan",682,Japan,5470777391091.97,*,21,2757,Industrial machinery,Listed,49.30,-6,19,,9.5,15.2,-58,No,-195,-186,-11.2,518,-40,-41,5764,-21,-20,8.6,19,48,,135,30,Yes,52.33,45.17,36.55,32.26
"Daiwa House Industry, Japan",519,Japan,5470777391091.97,*,20,3728,Home construction,Listed,51.57,-1,15,44.2,0.5,9.6,117,Yes,-49,-73,1.0,11248,-1,9,23985,2,11,2.2,-4,4,,3528,-12,No,52.35,48.05,41.18,38.00
"Applied Micro Circuits, USA",106,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,54.55,4,-5,,42.8,46.5,-20,No,,,-15.4,127,-4,-19,562,2,-5,97.1,2,0,,450,40,Yes,52.44,60.41,59.71,56.40
"Affymetrix, USA",429,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,47.90,-9,-5,,23.7,26.8,-21,No,,,-10.1,203,-20,-13,989,-12,-12,48.4,4,8,42,183,-56,No,52.50,47.83,53.44,48.24
"GEA, Germany",676,Germany,3260114884059.16,,21,2757,Industrial machinery,Listed,58.28,11,21,25.4,1.5,4.2,229,Yes,-38,13,5.8,3919,-18,-21,20963,1,4,2.8,10,17,46,2388,24,Yes,52.51,44.61,42.44,52.39
"Nippon Shinyaku, Japan",387,Japan,5470777391091.97,*,34,4577,Pharmaceuticals,Listed,52.24,-1,-9,108.6,12.5,15.7,48,Yes,11,29,11.5,420,6,13,1734,1,-2,30.1,-1,-8,,546,-5,No,52.54,54.55,66.99,56.40
"OmniVision Technologies, USA",110,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,47.87,-9,14,717.8,12.8,15.1,7,Yes,,-73,1.8,373,19,4,1450,9,-16,33.0,-17,30,99,747,85,Yes,52.56,49.15,41.84,25.12
"Tokai Rubber Industries, Japan",960,Japan,5470777391091.97,*,6,1353,Commodity chemicals,Listed,55.68,6,14,177.2,3.1,13.6,31,Yes,-82,-78,1.7,1825,-12,3,12533,6,20,4.4,0,-5,,723,-11,No,52.61,49.96,47.59,44.71
"Zebra Technologies, USA",751,USA,14617299295858.1,*,9,2737,Electronic equipment,Listed,52.69,0,43,125.8,10.6,13.7,42,Yes,,-25,8.4,498,-18,-3,2700,-16,-8,19.5,18,57,55,998,9,Yes,52.71,35.67,30.32,28.49
"Galenica, Switzerland",373,Switzerland,566764598976.798,,34,4577,Pharmaceuticals,Listed,71.32,35,105,44.8,4.1,6.2,159,Yes,3,70,9.1,1744,8,23,5255,24,70,13.6,9,21,,1604,20,Yes,52.89,26.29,27.89,31.97
"British Sky Broadcasting, UK",313,UK,2427911661952.04,,26,5553,Broadcasting & entertainment,FT Global 500,63.00,19,107,9.8,1.2,5.9,641,Yes,421,-4,12.0,5359,8,23,14922,5,23,4.2,13,79,,12428,34,Yes,53.00,43.00,20.00,6.00
"Sealed Air, USA",817,USA,14617299295858.1,*,17,2723,Containers & packaging,Listed,50.28,-5,-2,17.0,1.9,3.8,296,Yes,36,-4,11.3,2627,-12,-5,16200,-5,-6,3.1,0,5,,2139,14,Yes,53.01,56.23,48.42,46.94
"Regeneron Pharmaceuticals, USA",427,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,48.22,-9,-18,,20.5,46.2,-46,No,,,-19.5,235,59,208,1029,12,49,46.9,-19,-47,,1166,4,Yes,53.14,65.03,53.21,63.86
"Ecolab, USA",930,USA,14617299295858.1,*,6,1357,Specialty chemicals,Listed,53.25,0,11,12.6,1.5,5.7,422,Yes,1,9,11.5,3654,-4,12,26000,-2,6,2.0,2,5,,6891,11,Yes,53.25,51.15,45.39,42.34
"Electric Power Development, Japan",276,Japan,5470777391091.97,*,8,7535,Conventional electricity,Listed,54.98,3,20,15.0,1.2,25.7,367,Yes,-17,-38,7.8,4689,21,20,6581,1,6,8.4,2,13,,3179,5,Yes,53.35,42.67,45.25,42.45
"Tokyo Ohka Kogyo, Japan",927,Japan,5470777391091.97,*,6,1357,Specialty chemicals,Listed,56.82,6,31,,10.2,15.6,-35,No,-165,-154,-6.3,557,-18,-15,1848,0,,30.7,6,,17,458,-32,No,53.85,43.15,37.80,38.58
"Xyratex, Bermuda",151,Bermuda,5867281536.7,*,39,9572,Computer hardware,Listed,44.40,-18,-1,,8.3,10.0,-7,No,,-148,-1.4,537,-17,-5,1645,-13,2,27.0,-6,-3,,194,69,Yes,54.08,48.03,44.21,33.64
"Roper Industries, USA",753,USA,14617299295858.1,*,9,2737,Electronic equipment,Listed,51.64,-5,25,20.9,4.1,5.3,247,Yes,-19,4,19.5,1269,-11,8,7650,-3,10,6.8,-1,15,,3465,32,Yes,54.12,42.05,36.29,33.13
"Himax Technologies, Cayman Islands",114,Cayman Islands,1565186460764.05,*,39,9576,Semiconductors,Listed,44.19,-19,207,163.8,10.3,11.8,27,Yes,-28,156,6.3,429,-17,207,1229,1,26,36.0,-20,197,0,268,-35,No,54.23,1.43,1.17,0.80
"Orkla, Norway",812,Norway,425768848675.368,,17,2727,Diversified industrials,Listed,51.03,-6,-16,,0.9,6.4,-213,No,-155,-131,-3.6,5877,-18,-9,30167,-4,-7,1.7,-2,-10,21,5098,1,Yes,54.24,58.64,61.42,67.96
"Stada Arzneimittel, Germany",388,Germany,3260114884059.16,,34,4577,Pharmaceuticals,Listed,52.11,-4,27,30.7,3.7,7.0,170,Yes,10,20,12.2,1394,-5,14,8064,-3,27,6.5,-1,-2,0,1109,39,Yes,54.31,43.73,34.98,30.63
"Progress Software, USA",191,USA,14617299295858.1,*,37,9537,Software,Listed,57.75,6,21,182.4,18.9,20.4,32,Yes,-21,-10,10.3,306,-4,6,1821,-5,6,31.7,12,14,,745,32,Yes,54.36,49.75,47.85,39.06
"Keyence, Japan",747,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,59.09,9,38,13.7,5.4,7.3,432,Yes,-37,-27,39.3,1100,-18,-3,3067,5,,19.3,4,,,7389,17,Yes,54.39,44.90,39.63,31.92
"Dr Reddy's Laboratories, India",386,India,1544380310593.35,*,34,4577,Pharmaceuticals,Listed,53.03,-3,36,64.8,5.8,11.5,82,Yes,,71,9.0,912,1,34,13000,16,41,4.1,-16,-2,68,2992,72,Yes,54.47,45.87,32.55,23.12
"Sorin, Italy",470,Italy,2098071668645.46,,19,4535,Medical equipment,Listed,58.31,6,13,153.4,9.5,12.8,38,Yes,19,492,6.2,613,-9,-11,3631,-13,-19,16.1,21,39,,550,15,Yes,55.23,56.43,50.70,44.12
"Mitsui Mining & Smelting, Japan",892,Japan,5470777391091.97,*,22,1755,Nonferrous metals,Listed,53.29,-4,16,,1.9,10.0,-350,No,-344,-237,-12.3,2842,-28,-20,11189,-2,8,4.8,-2,8,8,995,-11,No,55.30,48.95,40.04,39.12
"Disco, Japan",101,Japan,5470777391091.97,*,39,9576,Semiconductors,Listed,56.75,2,25,1089.7,16.1,41.8,5,Yes,-96,-95,1.5,353,-42,-31,2438,8,27,23.3,-5,-2,21,1232,1,Yes,55.42,42.67,42.26,41.61
"Autonomy, UK",183,UK,2427911661952.04,,37,9537,Software,Listed,76.48,38,110,45.4,16.7,19.7,168,Yes,48,224,36.8,458,47,148,1684,35,87,45.4,2,12,,3786,23,Yes,55.46,42.90,33.97,13.58
"Lottomatica, Italy",305,Italy,2098071668645.46,,41,5752,Gambling,Listed,55.44,0,67,17.1,2.9,15.5,324,Yes,0,23,16.7,1934,6,67,7653,6,51,7.2,-6,44,,1433,-31,No,55.53,30.12,14.13,
"Kongsberg Gruppen, Norway",827,Norway,425768848675.368,,1,2717,Defence,Listed,61.53,11,53,45.9,4.2,7.3,134,Yes,44,79,9.1,1481,25,71,5236,10,34,11.8,1,17,59,1460,62,Yes,55.64,47.81,36.13,21.23
"Netflix, USA",315,USA,14617299295858.1,*,18,5379,Specialty retailers,Listed,70.93,27,103,60.6,6.9,9.6,117,Yes,63,239,11.3,1034,22,78,1883,15,38,37.7,11,52,,4288,161,Yes,55.65,44.21,18.25,21.91
"SCA, Sweden",897,Sweden,466459315772.176,,15,1737,Paper,Listed,66.70,20,23,9.5,0.7,7.0,698,Yes,-4,14,7.3,9614,0,7,49531,-5,-3,1.3,26,27,,6127,8,Yes,55.68,54.99,52.04,53.51
"FLIR Systems, USA",828,USA,14617299295858.1,*,1,2717,Defence,Listed,56.54,1,33,26.1,8.0,11.6,216,Yes,23,93,30.5,710,7,56,2079,7,29,27.2,-5,4,41,2640,21,Yes,55.71,44.87,37.52,31.90
"Swisscom, Switzerland",291,Switzerland,566764598976.798,,12,6535,Fixed line telecommunications,FT Global 500,122.21,119,201,7.5,1.7,13.7,1628,Yes,1,5,22.6,7189,-2,12,19813,0,12,6.2,119,172,,11845,9,Yes,55.71,44.93,28.16,33.55
"Nexans, France",782,France,2592078593347.73,,9,2733,Electrical components & equipment,Listed,56.86,2,11,47.1,1.3,4.2,121,Yes,-35,-42,2.7,4482,-26,-26,22716,-3,6,2.5,5,6,,1102,33,Yes,55.98,53.31,48.87,46.20
"Japan Radio, Japan",752,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,51.90,-7,-34,781.1,6.4,7.3,7,Yes,-76,,0.8,817,-7,-26,3770,1,-24,13.8,-8,-16,14,198,-8,No,56.08,47.31,87.19,124.83
"Japan Aviation Electronics Industry, Japan",849,Japan,5470777391091.97,*,1,2713,Aerospace,Listed,51.73,-8,-5,,6.3,16.7,-12,No,-116,-119,-1.4,818,-21,-8,5707,1,,9.1,-9,,,339,-10,No,56.48,55.78,53.43,52.69
"TriQuint Semiconductor, USA",92,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,67.77,20,72,643.2,16.7,24.1,11,Yes,,201,2.6,405,14,49,2393,4,27,28.3,15,38,,665,3,Yes,56.64,40.47,31.14,28.92
"Lion, Japan",487,Japan,5470777391091.97,*,33,3767,Personal products,Listed,60.25,6,8,85.0,2.8,5.4,71,Yes,52,79,3.3,2142,-5,-4,5750,0,-1,10.5,7,9,0,955,,No,56.69,58.17,52.70,56.58
"Alfa Laval, Sweden",678,Sweden,466459315772.176,,21,2757,Industrial machinery,Listed,56.20,-1,17,16.1,2.5,4.6,350,Yes,-28,13,15.5,2258,-7,17,11773,0,12,4.8,-1,5,59,3893,38,Yes,56.72,51.17,45.63,38.84
"Shimizu, Japan",860,Japan,5470777391091.97,*,7,2357,Heavy construction,Listed,52.34,-8,-2,67.3,0.4,0.9,78,Yes,-71,-74,0.6,12556,12,19,12115,1,0,4.3,-9,-2,,1812,-10,No,56.74,57.31,51.88,48.39
"Check Point Software Technologies, Israel",193,Israel,221584427361.149,*,37,9537,Software,Listed,55.57,-2,25,21.7,9.7,10.2,256,Yes,20,34,44.8,572,14,37,2112,12,25,26.3,-13,1,87,4362,17,Yes,56.74,50.15,38.52,32.07
"Energizer, USA",783,USA,14617299295858.1,*,9,2733,Electrical components & equipment,Listed,56.04,-1,18,14.8,2.3,5.8,378,Yes,-9,18,15.3,2477,-8,16,15500,-6,-1,3.6,5,19,,2699,-8,No,56.78,43.78,45.95,43.28
"Oshkosh, USA",704,USA,14617299295858.1,*,21,2753,Commercial vehicles & trucks,Listed,45.39,-20,21,,1.3,2.2,-618,No,-352,-352,-18.4,3364,-24,10,12300,-12,8,3.7,-9,16,16,1512,1,Yes,56.97,46.94,26.05,20.68
"Spectris, UK",781,UK,2427911661952.04,,9,2733,Electrical components & equipment,Listed,58.20,2,21,85.3,7.4,8.9,68,Yes,-40,-27,8.7,787,0,13,5764,1,0,10.1,1,21,59,1036,53,Yes,57.00,45.20,44.70,44.90
"Finisar, USA",28,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,58.69,3,33,861.1,14.9,19.8,7,Yes,,,1.7,394,18,44,6893,38,61,8.5,-25,-17,65,666,255,Yes,57.01,47.40,39.98,32.14
"ULVAC, Japan",749,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,55.50,-3,8,343.0,3.7,3.7,16,Yes,-70,-81,1.1,1489,-7,1,6987,2,29,7.9,-4,-18,3,518,-33,No,57.11,58.97,47.01,42.45
"Mochida Pharmaceutical, Japan",381,Japan,5470777391091.97,*,34,4577,Pharmaceuticals,Listed,58.27,2,,64.7,11.7,11.7,90,Yes,-1,51,18.0,500,1,5,1702,1,-2,34.2,1,,,744,-2,No,57.13,54.90,,
"Wendel, France",231,France,2592078593347.73,,11,8775,Specialty finance,Listed,59.26,3,57,,1.3,4.0,-1057,No,-874,-485,-24.0,4410,-13,8,51395,-4,21,1.2,8,37,,1739,33,Yes,57.31,46.56,32.35,14.84
"Tomkins, UK",813,UK,2427911661952.04,,17,2727,Diversified industrials,Listed,48.67,-15,-7,405.2,1.9,4.6,12,Yes,-7,-94,0.5,2588,-24,-20,26797,-17,-26,1.8,3,24,,2834,72,Yes,57.40,51.90,52.80,46.70
"WABCO, USA",600,USA,14617299295858.1,*,3,3355,Auto parts,Listed,46.57,-19,,541.0,5.0,9.0,9,Yes,-94,,0.9,924,-42,,8100,13,,5.7,-28,,92,1443,84,Yes,57.53,52.14,,
"Bobst, Switzerland",687,Switzerland,566764598976.798,,21,2757,Industrial machinery,Listed,43.73,-24,-21,,6.9,8.1,-106,No,-305,-247,-16.7,632,-35,-36,5488,-8,-1,8.0,-18,-20,,420,2,Yes,57.87,54.45,54.81,54.57
"Aastra Technologies, Canada",32,Canada,1565186460764.05,*,39,9578,Telecommunications equipment,Listed,48.33,-16,24,138.0,9.8,11.3,35,Yes,235,80,7.1,492,0,30,2150,-2,18,22.5,-15,7,89,189,16,Yes,57.88,32.27,35.22,30.08
"FMC, USA",926,USA,14617299295858.1,*,6,1357,Specialty chemicals,Listed,57.47,-1,-2,26.9,3.3,9.0,213,Yes,-30,6,12.2,1750,-9,10,4800,-4,-4,12.0,3,2,63,2725,18,Yes,58.08,58.58,60.00,58.46
"Avery Dennison, USA",928,USA,14617299295858.1,*,6,1357,Specialty chemicals,Listed,56.16,-4,0,,1.5,2.7,-437,No,-271,-264,-11.9,3686,-11,-1,32000,-10,8,1.8,8,-12,66,2323,21,Yes,58.21,59.14,54.43,52.88
"Shimadzu, Japan",746,Japan,5470777391091.97,*,9,2737,Electronic equipment,Listed,60.77,4,10,55.8,3.3,3.3,109,Yes,-36,-22,6.0,1815,-6,6,9670,,,6.3,,,18,1253,-7,No,58.50,57.21,53.40,52.63
"Lukoil, Russia",993,Russia,1459251165973.01,*,31,537,Integrated oil & gas,FT Global 500,49.54,-16,,0.8,0.1,0.1,6264,Yes,-27,-13,14.9,42123,-37,-13,143400,-6,,0.3,-11,,,28453,14,Yes,58.83,37.15,,
"NHK Spring, Japan",667,Japan,5470777391091.97,*,21,2757,Industrial machinery,Listed,70.12,19,85,101.4,2.4,8.9,69,Yes,-69,-59,2.4,2933,-9,8,15869,-8,33,4.4,30,46,11,1273,12,Yes,59.00,57.41,17.07,18.17
"Taiyo Yuden, Japan",103,Japan,5470777391091.97,*,39,9576,Semiconductors,Listed,56.30,-5,7,,4.6,19.1,-141,No,-209,-275,-11.4,1234,-22,-9,17478,-13,-10,3.2,10,18,12,842,-12,No,59.12,54.59,47.20,50.43
"Meggitt, UK",846,UK,2427911661952.04,,1,2713,Aerospace,Listed,66.00,11,46,28.4,5.7,7.3,233,Yes,36,66,20.2,1151,-1,38,7546,-8,11,8.7,21,34,66,1862,33,Yes,59.40,52.90,37.50,30.77
"Kpit Cummins Infosystems, India",224,India,1544380310593.35,*,37,9533,Computer services,Listed,54.43,-8,24,307.8,55.9,57.7,18,Yes,-6,79,18.2,97,-8,35,4918,7,36,11.1,-15,-9,,188,240,Yes,59.45,49.64,38.37,27.43
"William Demant, Denmark",468,Denmark,316081424057.807,,19,4535,Medical equipment,Listed,64.12,8,22,46.7,9.4,12.4,137,Yes,11,0,20.2,681,6,10,5674,5,14,11.3,2,7,54,2614,14,Yes,59.46,55.53,50.00,45.68
